full_date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,is_weekend
05-04-2023,5,Wednesday,3,14,4,April,2,2023,N
06-04-2023,6,Thursday,4,14,4,April,2,2023,N
07-04-2023,7,Friday,5,14,4,April,2,2023,N
08-04-2023,8,Saturday,6,14,4,April,2,2023,Y
09-04-2023,9,Sunday,7,14,4,April,2,2023,Y
10-04-2023,10,Monday,1,15,4,April,2,2023,N
11-04-2023,11,Tuesday,2,15,4,April,2,2023,N
12-04-2023,12,Wednesday,3,15,4,April,2,2023,N
13-04-2023,13,Thursday,4,15,4,April,2,2023,N
14-04-2023,14,Friday,5,15,4,April,2,2023,N
15-04-2023,15,Saturday,6,15,4,April,2,2023,Y
16-04-2023,16,Sunday,7,15,4,April,2,2023,Y
17-04-2023,17,Monday,1,16,4,April,2,2023,N
18-04-2023,18,Tuesday,2,16,4,April,2,2023,N
19-04-2023,19,Wednesday,3,16,4,April,2,2023,N
20-04-2023,20,Thursday,4,16,4,April,2,2023,N
21-04-2023,21,Friday,5,16,4,April,2,2023,N
22-04-2023,22,Saturday,6,16,4,April,2,2023,Y
23-04-2023,23,Sunday,7,16,4,April,2,2023,Y
24-04-2023,24,Monday,1,17,4,April,2,2023,N
25-04-2023,25,Tuesday,2,17,4,April,2,2023,N
26-04-2023,26,Wednesday,3,17,4,April,2,2023,N
27-04-2023,27,Thursday,4,17,4,April,2,2023,N
28-04-2023,28,Friday,5,17,4,April,2,2023,N
29-04-2023,29,Saturday,6,17,4,April,2,2023,Y
30-04-2023,30,Sunday,7,17,4,April,2,2023,Y
01-05-2023,1,Monday,1,18,5,May,2,2023,N
02-05-2023,2,Tuesday,2,18,5,May,2,2023,N
03-05-2023,3,Wednesday,3,18,5,May,2,2023,N
04-05-2023,4,Thursday,4,18,5,May,2,2023,N
05-05-2023,5,Friday,5,18,5,May,2,2023,N
06-05-2023,6,Saturday,6,18,5,May,2,2023,Y
07-05-2023,7,Sunday,7,18,5,May,2,2023,Y
08-05-2023,8,Monday,1,19,5,May,2,2023,N
09-05-2023,9,Tuesday,2,19,5,May,2,2023,N
10-05-2023,10,Wednesday,3,19,5,May,2,2023,N
11-05-2023,11,Thursday,4,19,5,May,2,2023,N
12-05-2023,12,Friday,5,19,5,May,2,2023,N
13-05-2023,13,Saturday,6,19,5,May,2,2023,Y
14-05-2023,14,Sunday,7,19,5,May,2,2023,Y
15-05-2023,15,Monday,1,20,5,May,2,2023,N
16-05-2023,16,Tuesday,2,20,5,May,2,2023,N
